TYPE_ETABLISSEMENT_ANNEE_SCOLAIRE;LIBELLE_ETABLISSEMENT;ADRESSE;ARRONDISSEMENT;CODE_INSEE NUMBER;ANNEE_SCOLAIRE;TYPE_ETABLISSEMENT;GEO_SHAPE;GEO_POINT_2D
MATERNELLES (année scolaire 2022/2023);REUILLY (59) MAT;59 RUE DE REUILLY;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.3886864786274575, 48.84567811393347], ""type"": ""Point""}";48.84567811393347, 2.3886864786274575
MATERNELLES (année scolaire 2022/2023);ST MARTIN (211) POLY;211 RUE SAINT MARTIN;3ème Ardt;75103;;Polyvalent;"{""coordinates"": [2.3528123089676223, 48.86407166494785], ""type"": ""Point""}";48.86407166494785, 2.3528123089676223
MATERNELLES (année scolaire 2022/2023);CUGNOT (30) POLY;30 RUE CUGNOT;18ème Ardt;75118;;Polyvalent;"{""coordinates"": [2.3645871569749612, 48.892715722912946], ""type"": ""Point""}";48.892715722912946, 2.3645871569749612
MATERNELLES (année scolaire 2022/2023);TELEGRAPHE (29) MAT;29 RUE DU TELEGRAPHE;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.399105785179328, 48.873410665618245], ""type"": ""Point""}";48.873410665618245, 2.399105785179328
MATERNELLES (année scolaire 2022/2023);PAUL VALERY (18) POLY;18 RUE PAUL VALERY;16ème Ardt;75116;;Polyvalent;"{""coordinates"": [2.2900006682192444, 48.87034290370526], ""type"": ""Point""}";48.87034290370526, 2.2900006682192444
MATERNELLES (année scolaire 2022/2023);BROCHANT (28) MAT;28 RUE BROCHANT;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.319584604422367, 48.88998517253306], ""type"": ""Point""}";48.88998517253306, 2.319584604422367
MATERNELLES (année scolaire 2022/2023);RENAUDES (31) MAT;31 RUE DES RENAUDES;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.2977207615324162, 48.880698602550176], ""type"": ""Point""}";48.880698602550176, 2.2977207615324162
MATERNELLES (année scolaire 2022/2023);VAUCANSON (6) POLY;6 RUE VAUCANSON;3ème Ardt;75103;;Polyvalent;"{""coordinates"": [2.3567881058857116, 48.86711766168113], ""type"": ""Point""}";48.86711766168113, 2.3567881058857116
MATERNELLES (année scolaire 2022/2023);COUR DES NOUES (26) MAT;26 RUE DE LA COUR DES NOUES;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.4006638852553333, 48.864339140052664], ""type"": ""Point""}";48.864339140052664, 2.4006638852553333
MATERNELLES (année scolaire 2022/2023);MARAICHERS (31) MAT;31 RUE DES MARAICHERS;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.407181998910859, 48.850975297793454], ""type"": ""Point""}";48.850975297793454, 2.407181998910859
MATERNELLES (année scolaire 2022/2023);THIONVILLE (6) MAT;6 PASSAGE DE THIONVILLE;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.382209343714642, 48.888026293576104], ""type"": ""Point""}";48.888026293576104, 2.382209343714642
MATERNELLES (année scolaire 2022/2023);RETRAIT (24) MAT;24 RUE DU RETRAIT;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.3939428814266304, 48.8689793614618], ""type"": ""Point""}";48.8689793614618, 2.3939428814266304
MATERNELLES (année scolaire 2022/2023);DUNOIS (71) MAT;71 RUE DUNOIS;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.366141302750901, 48.83304418350052], ""type"": ""Point""}";48.83304418350052, 2.366141302750901
MATERNELLES (année scolaire 2022/2023);LYONNAIS (22) MAT;22 RUE DES LYONNAIS;5ème Ardt;75105;2022-2023;Maternelle;"{""coordinates"": [2.346472507675337, 48.83851905714696], ""type"": ""Point""}";48.83851905714696, 2.346472507675337
MATERNELLES (année scolaire 2022/2023);ALAIN-FOURNIER (7) MAT;7 SQUARE ALAIN-FOURNIER;14ème Ardt;75114;2022-2023;Maternelle;"{""coordinates"": [2.306835908986238, 48.827746373294794], ""type"": ""Point""}";48.827746373294794, 2.306835908986238
MATERNELLES (année scolaire 2022/2023);REIMS (38-40) POLY;38 BOULEVARD DE REIMS;17ème Ardt;75117;;Polyvalent;"{""coordinates"": [2.295450619155225, 48.88828196110204], ""type"": ""Point""}";48.88828196110204, 2.295450619155225
MATERNELLES (année scolaire 2022/2023);RAPP (28) MAT;28 AVENUE RAPP;7ème Ardt;75107;2022-2023;Maternelle;"{""coordinates"": [2.3002060575306875, 48.85863065065178], ""type"": ""Point""}";48.85863065065178, 2.3002060575306875
MATERNELLES (année scolaire 2022/2023);FRERES VOISIN (3) POLY;3 BOULEVARD DES FRERES VOISIN;15ème Ardt;75115;;Polyvalent;"{""coordinates"": [2.268341258697311, 48.827963593963766], ""type"": ""Point""}";48.827963593963766, 2.268341258697311
MATERNELLES (année scolaire 2022/2023);VIVIENNE (11) MAT;11 RUE VIVIENNE;2ème Ardt;75102;2022-2023;Maternelle;"{""coordinates"": [2.3395002367160616, 48.86801044924347], ""type"": ""Point""}";48.86801044924347, 2.3395002367160616
MATERNELLES (année scolaire 2022/2023);ROMAINVILLE (59B) MAT;59 bis RUE DE ROMAINVILLE;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.403382148648804, 48.87739019746418], ""type"": ""Point""}";48.87739019746418, 2.403382148648804
MATERNELLES (année scolaire 2022/2023);BELLEVILLE (345) MAT;345 RUE DE BELLEVILLE;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.4055381256938637, 48.877008671318215], ""type"": ""Point""}";48.877008671318215, 2.4055381256938637
MATERNELLES (année scolaire 2022/2023);ALESIA (3B) MAT;3 bis RUE D'ALESIA;14ème Ardt;75114;2022-2023;Maternelle;"{""coordinates"": [2.3398834157096258, 48.82662418822363], ""type"": ""Point""}";48.82662418822363, 2.3398834157096258
MATERNELLES (année scolaire 2022/2023);BOULARD (23) MAT;23 RUE BOULARD;14ème Ardt;75114;2022-2023;Maternelle;"{""coordinates"": [2.3289352314031793, 48.833736699754986], ""type"": ""Point""}";48.833736699754986, 2.3289352314031793
MATERNELLES (année scolaire 2022/2023);EMILE ZOLA (35) MAT;35 AVENUE EMILE ZOLA;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.282425091676537, 48.846558392786704], ""type"": ""Point""}";48.846558392786704, 2.282425091676537
MATERNELLES (année scolaire 2022/2023);GUSTAVE ZEDE (5) MAT;5 RUE GUSTAVE ZEDE;16ème Ardt;75116;2022-2023;Maternelle;"{""coordinates"": [2.2728073732431824, 48.855739968153905], ""type"": ""Point""}";48.855739968153905, 2.2728073732431824
MATERNELLES (année scolaire 2022/2023);NOYER DURAND (5) MAT;5 RUE DU NOYER DURAND;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.399123320054973, 48.886731773138386], ""type"": ""Point""}";48.886731773138386, 2.399123320054973
MATERNELLES (année scolaire 2022/2023);PREVOYANCE (29) MAT;29 RUE DE LA PREVOYANCE;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3945556084295427, 48.883707272072826], ""type"": ""Point""}";48.883707272072826, 2.3945556084295427
MATERNELLES (année scolaire 2022/2023);PAUL BAUDRY (10) POLY;10 RUE PAUL BAUDRY;8ème Ardt;75108;;Polyvalent;"{""coordinates"": [2.30740416964641, 48.87234525840762], ""type"": ""Point""}";48.87234525840762, 2.30740416964641
MATERNELLES (année scolaire 2022/2023);TANGER (41) MAT;41 RUE DE TANGER;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3702364147193737, 48.887768133734], ""type"": ""Point""}";48.887768133734, 2.3702364147193737
MATERNELLES (année scolaire 2022/2023);SERVAN (54) MAT;54 RUE SERVAN;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.3818138125303907, 48.863031254508925], ""type"": ""Point""}";48.863031254508925, 2.3818138125303907
MATERNELLES (année scolaire 2022/2023);MADEMOISELLE (83) MAT;83 RUE MADEMOISELLE;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.300498599395484, 48.8433586734679], ""type"": ""Point""}";48.8433586734679, 2.300498599395484
MATERNELLES (année scolaire 2022/2023);TANGER (15) MAT;15 RUE DE TANGER;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3678835383189987, 48.88541391850734], ""type"": ""Point""}";48.88541391850734, 2.3678835383189987
MATERNELLES (année scolaire 2022/2023);CHAMPIONNET (72) MAT;72 RUE CHAMPIONNET;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3448803625489103, 48.895890845375234], ""type"": ""Point""}";48.895890845375234, 2.3448803625489103
MATERNELLES (année scolaire 2022/2023);PELLEPORT (99) MAT;99 RUE PELLEPORT;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.399462176513419, 48.87020949208667], ""type"": ""Point""}";48.87020949208667, 2.399462176513419
MATERNELLES (année scolaire 2022/2023);CHRISTINE DE PISAN (24) MAT;24 RUE CHRISTINE DE PISAN;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.3082570703185916, 48.88997703075425], ""type"": ""Point""}";48.88997703075425, 2.3082570703185916
MATERNELLES (année scolaire 2022/2023);SIMONE WEIL (5) MAT;5 RUE SIMONE WEIL;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.364337027563661, 48.82351147961039], ""type"": ""Point""}";48.82351147961039, 2.364337027563661
MATERNELLES (année scolaire 2022/2023);MARSOULAN (16) MAT;16 RUE MARSOULAN;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.4033410170217393, 48.84634860501086], ""type"": ""Point""}";48.84634860501086, 2.4033410170217393
MATERNELLES (année scolaire 2022/2023);BRECHE AUX LOUPS (28) MAT;28 RUE DE LA BRECHE AUX LOUPS;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.3945357711131185, 48.83778785119997], ""type"": ""Point""}";48.83778785119997, 2.3945357711131185
MATERNELLES (année scolaire 2022/2023);DAUMESNIL (70) MAT;70 AVENUE DAUMESNIL;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.3803469857615727, 48.84470029088354], ""type"": ""Point""}";48.84470029088354, 2.3803469857615727
MATERNELLES (année scolaire 2022/2023);TROIS BORNES (39) MAT;39 RUE DES TROIS BORNES;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.3746009950485596, 48.86734855731877], ""type"": ""Point""}";48.86734855731877, 2.3746009950485596
MATERNELLES (année scolaire 2022/2023);LOUIS DE FUNES (2) POLY;2 ALLEE LOUIS DE FUNES;8ème Ardt;75108;;Polyvalent;"{""coordinates"": [2.3058764604394946, 48.87590706075656], ""type"": ""Point""}";48.87590706075656, 2.3058764604394946
MATERNELLES (année scolaire 2022/2023);PIERRE FONCIN (2) MAT;2 RUE PIERRE FONCIN;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.409217976972017, 48.871340988815405], ""type"": ""Point""}";48.871340988815405, 2.409217976972017
MATERNELLES (année scolaire 2022/2023);FERNAND LABORI (19) MAT;19 RUE FERNAND LABORI;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3422511488545315, 48.899127617384266], ""type"": ""Point""}";48.899127617384266, 2.3422511488545315
MATERNELLES (année scolaire 2022/2023);LAS CASES (27) POLY;27 RUE LAS CASES;7ème Ardt;75107;;Polyvalent;"{""coordinates"": [2.318591447403378, 48.858978422295145], ""type"": ""Point""}";48.858978422295145, 2.318591447403378
MATERNELLES (année scolaire 2022/2023);GERBERT (6) MAT;6 RUE GERBERT;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.2977704012276785, 48.83956346532158], ""type"": ""Point""}";48.83956346532158, 2.2977704012276785
MATERNELLES (année scolaire 2022/2023);EIDERS (5) MAT;5 ALLEE DES EIDERS;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.379171396905241, 48.89429590404228], ""type"": ""Point""}";48.89429590404228, 2.379171396905241
MATERNELLES (année scolaire 2022/2023);TANDOU (22-28) MAT;22 RUE TANDOU;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.380622491588858, 48.88646818603224], ""type"": ""Point""}";48.88646818603224, 2.380622491588858
MATERNELLES (année scolaire 2022/2023);MONT CENIS (77) MAT;77 RUE DU MONT CENIS;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3439649798902322, 48.89207701097171], ""type"": ""Point""}";48.89207701097171, 2.3439649798902322
MATERNELLES (année scolaire 2022/2023);GRANDS MOULINS (47) POLY;47 RUE DES GRANDS MOULINS;13ème Ardt;75113;;Polyvalent;"{""coordinates"": [2.377695614470156, 48.82792649539958], ""type"": ""Point""}";48.82792649539958, 2.377695614470156
MATERNELLES (année scolaire 2022/2023);LEGOUVE (6) MAT;6 RUE LEGOUVE;10ème Ardt;75110;2022-2023;Maternelle;"{""coordinates"": [2.3621753999223016, 48.872254869006056], ""type"": ""Point""}";48.872254869006056, 2.3621753999223016
MATERNELLES (année scolaire 2022/2023);VAUVENARGUES (4) MAT;4 RUE VAUVENARGUES;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3345890385044714, 48.892204778299806], ""type"": ""Point""}";48.892204778299806, 2.3345890385044714
MATERNELLES (année scolaire 2022/2023);M. ROSTROPOVITCH (34) POLY;34 RUE MSTISLAV ROSTROPOVITCH;17ème Ardt;75117;;Polyvalent;"{""coordinates"": [2.3129853283505617, 48.89002009578474], ""type"": ""Point""}";48.89002009578474, 2.3129853283505617
MATERNELLES (année scolaire 2022/2023);RICAUT (8) MAT;8 RUE RICAUT;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.3614545805745077, 48.82985084240565], ""type"": ""Point""}";48.82985084240565, 2.3614545805745077
MATERNELLES (année scolaire 2022/2023);PORTE BRANCION (5) MAT;5 AVENUE DE LA PORTE BRANCION;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.3020938881021684, 48.82745045804661], ""type"": ""Point""}";48.82745045804661, 2.3020938881021684
MATERNELLES (année scolaire 2022/2023);SAIDA (20) MAT;20 RUE SAIDA;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.293162588036355, 48.83174298046158], ""type"": ""Point""}";48.83174298046158, 2.293162588036355
MATERNELLES (année scolaire 2022/2023);CUJAS (23) MAT;23 RUE CUJAS;5ème Ardt;75105;2022-2023;Maternelle;"{""coordinates"": [2.3419015855074456, 48.84805003170546], ""type"": ""Point""}";48.84805003170546, 2.3419015855074456
MATERNELLES (année scolaire 2022/2023);FONTARABIE (12) MAT;12 RUE DE FONTARABIE;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.4005116407946545, 48.85752136244199], ""type"": ""Point""}";48.85752136244199, 2.4005116407946545
MATERNELLES (année scolaire 2022/2023);L.M.NORDMANN (140) MAT;140 RUE LEON MAURICE NORDMANN;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.3431821295641404, 48.83377350532776], ""type"": ""Point""}";48.83377350532776, 2.3431821295641404
MATERNELLES (année scolaire 2022/2023);BERANGER (3) POLY;3 RUE BERANGER;3ème Ardt;75103;;Polyvalent;"{""coordinates"": [2.3643829958629166, 48.86481590090902], ""type"": ""Point""}";48.86481590090902, 2.3643829958629166
MATERNELLES (année scolaire 2022/2023);SADI LECOINTE (8) MAT;8 RUE SADI LECOINTE;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3738821856589865, 48.88035393950241], ""type"": ""Point""}";48.88035393950241, 2.3738821856589865
MATERNELLES (année scolaire 2022/2023);AMANDIERS (90) MAT;90 RUE DES AMANDIERS;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.3894199327196737, 48.86696740597216], ""type"": ""Point""}";48.86696740597216, 2.3894199327196737
MATERNELLES (année scolaire 2022/2023);EMILE DUPLOYE (27) MAT;27 RUE EMILE DUPLOYE;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.355140425492895, 48.889900240270194], ""type"": ""Point""}";48.889900240270194, 2.355140425492895
MATERNELLES (année scolaire 2022/2023);DAUMESNIL (253 B) MAT;253 bis AVENUE DAUMESNIL;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.4025698180584274, 48.837246512902595], ""type"": ""Point""}";48.837246512902595, 2.4025698180584274
MATERNELLES (année scolaire 2022/2023);FEDERATION (18) MAT;18 RUE DE LA FEDERATION;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.2910889400423504, 48.854537240506836], ""type"": ""Point""}";48.854537240506836, 2.2910889400423504
MATERNELLES (année scolaire 2022/2023);EPINETTES (44) MAT;44 RUE DES EPINETTES;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.324089590815981, 48.89706060780151], ""type"": ""Point""}";48.89706060780151, 2.324089590815981
MATERNELLES (année scolaire 2022/2023);FLEURS (61) MAT;61 CITE DES FLEURS;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.3210113593774087, 48.893547926398206], ""type"": ""Point""}";48.893547926398206, 2.3210113593774087
MATERNELLES (année scolaire 2022/2023);PERCHAMPS (38) MAT;38 RUE DES PERCHAMPS;16ème Ardt;75116;2022-2023;Maternelle;"{""coordinates"": [2.268141584346579, 48.84923602500943], ""type"": ""Point""}";48.84923602500943, 2.268141584346579
MATERNELLES (année scolaire 2022/2023);CHAMPAGNE (17) POLY;17 CITE CHAMPAGNE;20ème Ardt;75120;;Polyvalent;"{""coordinates"": [2.4042089809108966, 48.85333032620816], ""type"": ""Point""}";48.85333032620816, 2.4042089809108966
MATERNELLES (année scolaire 2022/2023);ROBERT ESTIENNE (8) POLY;8 RUE ROBERT ESTIENNE;8ème Ardt;75108;;Polyvalent;"{""coordinates"": [2.3051147792050424, 48.86861806590406], ""type"": ""Point""}";48.86861806590406, 2.3051147792050424
MATERNELLES (année scolaire 2022/2023);VARET (9) MAT;9 RUE VARET;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.280942337739886, 48.839954254643544], ""type"": ""Point""}";48.839954254643544, 2.280942337739886
MATERNELLES (année scolaire 2022/2023);DARIUS MILHAUD (53) MAT;53 ALLEE DARIUS MILHAUD;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3908932428725764, 48.88468263111015], ""type"": ""Point""}";48.88468263111015, 2.3908932428725764
MATERNELLES (année scolaire 2022/2023);TOLBIAC (157) MAT;157 RUE DE TOLBIAC;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.356264686583316, 48.82603438803607], ""type"": ""Point""}";48.82603438803607, 2.356264686583316
MATERNELLES (année scolaire 2022/2023);ROQUETTE (144) MAT;144 RUE DE LA ROQUETTE;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.38230266486954, 48.8580748035193], ""type"": ""Point""}";48.8580748035193, 2.38230266486954
MATERNELLES (année scolaire 2022/2023);BLANCHE (9 B) MAT;9 bis RUE BLANCHE;9ème Ardt;75109;2022-2023;Maternelle;"{""coordinates"": [2.3317475456180112, 48.87806920782908], ""type"": ""Point""}";48.87806920782908, 2.3317475456180112
MATERNELLES (année scolaire 2022/2023);ERLANGER (58) MAT;58 RUE ERLANGER;16ème Ardt;75116;2022-2023;Maternelle;"{""coordinates"": [2.2597070535003074, 48.84426466038021], ""type"": ""Point""}";48.84426466038021, 2.2597070535003074
MATERNELLES (année scolaire 2022/2023);BUFFON (15 B) MAT;15 bis RUE BUFFON;5ème Ardt;75105;2022-2023;Maternelle;"{""coordinates"": [2.3618682408825737, 48.842546607106094], ""type"": ""Point""}";48.842546607106094, 2.3618682408825737
MATERNELLES (année scolaire 2022/2023);BULLOURDE (4) MAT;4 PASSAGE BULLOURDE;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.376705198402277, 48.85455709951778], ""type"": ""Point""}";48.85455709951778, 2.376705198402277
MATERNELLES (année scolaire 2022/2023);EUGENE REISZ (2) MAT;2 RUE EUGENE REISZ;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.410503469825659, 48.85627811228629], ""type"": ""Point""}";48.85627811228629, 2.410503469825659
MATERNELLES (année scolaire 2022/2023);SARRETTE (55) MAT;55 RUE SARRETTE;14ème Ardt;75114;2022-2023;Maternelle;"{""coordinates"": [2.3269351516433563, 48.82508625196558], ""type"": ""Point""}";48.82508625196558, 2.3269351516433563
MATERNELLES (année scolaire 2022/2023);ANTOINE CHANTIN (15) MAT;15 RUE ANTOINE CHANTIN;14ème Ardt;75114;2022-2023;Maternelle;"{""coordinates"": [2.321911153160345, 48.827116023249914], ""type"": ""Point""}";48.827116023249914, 2.321911153160345
MATERNELLES (année scolaire 2022/2023);RAMPAL (5-7) MAT;5 RUE RAMPAL;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.379682538097387, 48.873372460325896], ""type"": ""Point""}";48.873372460325896, 2.379682538097387
MATERNELLES (année scolaire 2022/2023);TAPISSERIES (8) MAT;8 RUE DES TAPISSERIES;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.3077232982113522, 48.88848050514574], ""type"": ""Point""}";48.88848050514574, 2.3077232982113522
MATERNELLES (année scolaire 2022/2023);VILLIERS (22) MAT;22 AVENUE PORTE DE VILLIERS;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.2855063149733303, 48.88495140132992], ""type"": ""Point""}";48.88495140132992, 2.2855063149733303
MATERNELLES (année scolaire 2022/2023);MARX DORMOY (53B) MAT;53 bis RUE MARX DORMOY;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3596962129223327, 48.88837957517475], ""type"": ""Point""}";48.88837957517475, 2.3596962129223327
MATERNELLES (année scolaire 2022/2023);POINTE D'IVRY (17-35) MAT;17 RUE DE LA POINTE D'IVRY;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.3642791869269337, 48.82251676056329], ""type"": ""Point""}";48.82251676056329, 2.3642791869269337
MATERNELLES (année scolaire 2022/2023);VANDREZANNE (40) MAT;40 RUE VANDREZANNE;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.3531537130965767, 48.82785931453252], ""type"": ""Point""}";48.82785931453252, 2.3531537130965767
MATERNELLES (année scolaire 2022/2023);BRILLAT SAVARIN (87) MAT;87 RUE BRILLAT SAVARIN;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.342842021454952, 48.824409075967125], ""type"": ""Point""}";48.824409075967125, 2.342842021454952
MATERNELLES (année scolaire 2022/2023);CHARLES BAUDELAIRE (16) MAT;16 RUE CHARLES BAUDELAIRE;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.3769265685514185, 48.84949898664805], ""type"": ""Point""}";48.84949898664805, 2.3769265685514185
MATERNELLES (année scolaire 2022/2023);TRUFFAUT (15) POLY;15 RUE TRUFFAUT;17ème Ardt;75117;;Polyvalent;"{""coordinates"": [2.322540242614652, 48.88493024951725], ""type"": ""Point""}";48.88493024951725, 2.322540242614652
MATERNELLES (année scolaire 2022/2023);OUEST (69) POLY;69 RUE DE L'OUEST;14ème Ardt;75114;;Polyvalent;"{""coordinates"": [2.3185603650345095, 48.835649604477425], ""type"": ""Point""}";48.835649604477425, 2.3185603650345095
MATERNELLES (année scolaire 2022/2023);CHAPTAL (12) MAT;12 RUE CHAPTAL;9ème Ardt;75109;2022-2023;Maternelle;"{""coordinates"": [2.3336321508838727, 48.88082464785626], ""type"": ""Point""}";48.88082464785626, 2.3336321508838727
MATERNELLES (année scolaire 2022/2023);COLONEL MOLL (16) MAT;16 RUE DU COLONEL MOLL;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.2901010627457095, 48.87801285587208], ""type"": ""Point""}";48.87801285587208, 2.2901010627457095
MATERNELLES (année scolaire 2022/2023);SIMON BOLIVAR (65) MAT;65 AVENUE SIMON BOLIVAR;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3777068568227797, 48.87636369873715], ""type"": ""Point""}";48.87636369873715, 2.3777068568227797
MATERNELLES (année scolaire 2022/2023);LANCRY (15) POLY;15 RUE DE LANCRY;10ème Ardt;75110;;Polyvalent;"{""coordinates"": [2.360343892968746, 48.8695684314418], ""type"": ""Point""}";48.8695684314418, 2.360343892968746
MATERNELLES (année scolaire 2022/2023);DAVOUT (51) POLY;51 BD DAVOUT;20ème Ardt;75120;;Polyvalent;"{""coordinates"": [2.410732854164186, 48.85132892108274], ""type"": ""Point""}";48.85132892108274, 2.410732854164186
MATERNELLES (année scolaire 2022/2023);CHAMPIONNET (113) POLY;113 RUE CHAMPIONNET;18ème Ardt;75118;;Polyvalent;"{""coordinates"": [2.339143362226737, 48.895588312904216], ""type"": ""Point""}";48.895588312904216, 2.339143362226737
MATERNELLES (année scolaire 2022/2023);BUFFAULT (34) MAT;34 RUE BUFFAULT;9ème Ardt;75109;2022-2023;Maternelle;"{""coordinates"": [2.342510683558092, 48.876430241183726], ""type"": ""Point""}";48.876430241183726, 2.342510683558092
MATERNELLES (année scolaire 2022/2023);ALPHONSE BAUDIN (19) MAT;19 RUE ALPHONSE BAUDIN;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.370051068149594, 48.861242479915724], ""type"": ""Point""}";48.861242479915724, 2.370051068149594
MATERNELLES (année scolaire 2022/2023);SEXTIUS MICHEL (22) MAT;22 RUE SEXTIUS MICHEL;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.2884111928041673, 48.850117135338394], ""type"": ""Point""}";48.850117135338394, 2.2884111928041673
MATERNELLES (année scolaire 2022/2023);PASSY (25) MAT;25 RUE DE PASSY;16ème Ardt;75116;2022-2023;Maternelle;"{""coordinates"": [2.2822315904631347, 48.858029502248876], ""type"": ""Point""}";48.858029502248876, 2.2822315904631347
MATERNELLES (année scolaire 2022/2023);PARMENTIER (11B) MAT;11 bis AVENUE PARMENTIER;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.3788002257014074, 48.859756038515556], ""type"": ""Point""}";48.859756038515556, 2.3788002257014074
MATERNELLES (année scolaire 2022/2023);JACQUIER (23) MAT;23 RUE JACQUIER;14ème Ardt;75114;2022-2023;Maternelle;"{""coordinates"": [2.3169979533660503, 48.82997508187904], ""type"": ""Point""}";48.82997508187904, 2.3169979533660503
MATERNELLES (année scolaire 2022/2023);JOURDAIN (4) MAT;4 RUE DU JOURDAIN;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.389605634256414, 48.87451440609749], ""type"": ""Point""}";48.87451440609749, 2.389605634256414
MATERNELLES (année scolaire 2022/2023);ANDRE DEL SARTE (11) MAT;11 RUE ANDRE DEL SARTE;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3463763599753693, 48.885717261088175], ""type"": ""Point""}";48.885717261088175, 2.3463763599753693
MATERNELLES (année scolaire 2022/2023);PLANCHAT (52) MAT;52 RUE PLANCHAT;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.396600653680645, 48.85580459429238], ""type"": ""Point""}";48.85580459429238, 2.396600653680645
MATERNELLES (année scolaire 2022/2023);ORSEL (56) MAT;56 RUE D'ORSEL;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.340865749684589, 48.88355382499921], ""type"": ""Point""}";48.88355382499921, 2.340865749684589
MATERNELLES (année scolaire 2022/2023);GLACIERE (100) MAT;100 RUE DE LA GLACIERE;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.3429107032425702, 48.829792234688384], ""type"": ""Point""}";48.829792234688384, 2.3429107032425702
