TYPE_ETABLISSEMENT_ANNEE_SCOLAIRE;LIBELLE_ETABLISSEMENT;ADRESSE;ARRONDISSEMENT;CODE_INSEE NUMBER;ANNEE_SCOLAIRE;TYPE_ETABLISSEMENT;GEO_SHAPE;GEO_POINT_2D
MATERNELLES (année scolaire 2022/2023);FERDINAND FLOCON (3) MAT;3 RUE FERDINAND FLOCON;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3456486054410246, 48.89126196618973], ""type"": ""Point""}";48.89126196618973, 2.3456486054410246
MATERNELLES (année scolaire 2022/2023);VAUVENARGUES (52) MAT;52 RUE VAUVENARGUES;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.331537079400387, 48.895418518323694], ""type"": ""Point""}";48.895418518323694, 2.331537079400387
MATERNELLES (année scolaire 2022/2023);CAPITAINE LAGACHE (21) MAT;21 RUE DU CAPITAINE LAGACHE;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.325275514737551, 48.892144085911646], ""type"": ""Point""}";48.892144085911646, 2.325275514737551
MATERNELLES (année scolaire 2022/2023);EUPATORIA (15) MAT;15 RUE D'EUPATORIA;20ème Ardt;75120;2022-2023;Maternelle;"{""coordinates"": [2.3873358677106116, 48.86889592379885], ""type"": ""Point""}";48.86889592379885, 2.3873358677106116
MATERNELLES (année scolaire 2022/2023);CHARLES HERMITE (2) MAT;2 RUE CHARLES HERMITE;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.369872461060125, 48.89991713437065], ""type"": ""Point""}";48.89991713437065, 2.369872461060125
MATERNELLES (année scolaire 2022/2023);MURAT (162) MAT;162 BOULEVARD MURAT;16ème Ardt;75116;2022-2023;Maternelle;"{""coordinates"": [2.265105062095442, 48.838953773242956], ""type"": ""Point""}";48.838953773242956, 2.265105062095442
MATERNELLES (année scolaire 2022/2023);CAMBRAI (5) MAT;5 bis RUE DE CAMBRAI;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3777865615423885, 48.89455724765255], ""type"": ""Point""}";48.89455724765255, 2.3777865615423885
MATERNELLES (année scolaire 2022/2023);BERNARD BUFFET (14) POLY;14 RUE BERNARD BUFFET;17ème Ardt;75117;;Polyvalent;"{""coordinates"": [2.3160474717627473, 48.891687680548905], ""type"": ""Point""}";48.891687680548905, 2.3160474717627473
MATERNELLES (année scolaire 2022/2023);PRESENTATION (4B) MAT;4 bis RUE DE LA PRESENTATION;11ème Ardt;75111;2022-2023;Maternelle;"{""coordinates"": [2.377028243622058, 48.87101001795684], ""type"": ""Point""}";48.87101001795684, 2.377028243622058
MATERNELLES (année scolaire 2022/2023);KUSS (8) POLY;8 RUE KUSS;13ème Ardt;75113;;Polyvalent;"{""coordinates"": [2.351305571901135, 48.8222309853145], ""type"": ""Point""}";48.8222309853145, 2.351305571901135
