Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
4890;AQUEDUC (39) MAT;39 RUE DE L'AQUEDUC;10ème Ardt;75110;2022-2023;MAT;;;;;"{""coordinates"": [2.363923017199924, 48.88247900358761], ""type"": ""Point""}";48.88247900358761, 2.363923017199924
4890;PROCESSION (66) MAT;66 RUE DE LA PROCESSION;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.3094299820039836, 48.836574140344055], ""type"": ""Point""}";48.836574140344055, 2.3094299820039836
4890;EMERIAU (16) MAT;16 RUE EMERIAU;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.2878572112055, 48.85134348418134], ""type"": ""Point""}";48.85134348418134, 2.2878572112055
4890;PASSY (25) MAT;25 RUE DE PASSY;16ème Ardt;75116;2022-2023;MAT;;;;;"{""coordinates"": [2.2822315904631347, 48.858029502248876], ""type"": ""Point""}";48.858029502248876, 2.2822315904631347
4890;ANDRE BRECHET (21) MAT;21 RUE ANDRE BRECHET;17ème Ardt;75117;2022-2023;MAT;;;;;"{""coordinates"": [2.326847650504811, 48.89885885682679], ""type"": ""Point""}";48.89885885682679, 2.326847650504811
4890;BELLEVILLE (345) MAT;345 RUE DE BELLEVILLE;19ème Ardt;75119;2022-2023;MAT;;;;;"{""coordinates"": [2.4055381256938637, 48.877008671318215], ""type"": ""Point""}";48.877008671318215, 2.4055381256938637
4890;ARMAND CARREL (47) MAT;47 RUE ARMAND CARREL;19ème Ardt;75119;2022-2023;MAT;;;;;"{""coordinates"": [2.375784996693515, 48.88269976980857], ""type"": ""Point""}";48.88269976980857, 2.375784996693515
4890;MENILMONTANT (10) MAT;10 RUE DE MENILMONTANT;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.384198062869916, 48.86725402416087], ""type"": ""Point""}";48.86725402416087, 2.384198062869916
4890;EBLE (14) MAT;14 RUE EBLE;7ème Ardt;75107;2022-2023;MAT;;;;;"{""coordinates"": [2.3129223063567297, 48.84899535283046], ""type"": ""Point""}";48.84899535283046, 2.3129223063567297
4892;SIMON BOLIVAR (119) ELEM B;119 AVENUE SIMON BOLIVAR (EC.B;19ème Ardt;75119;2022-2023;ELE;;;;;"{""coordinates"": [2.374187395474631, 48.87983801495678], ""type"": ""Point""}";48.87983801495678, 2.374187395474631
4892;ALESIA (3) ELEM;3 RUE D'ALESIA;14ème Ardt;75114;2022-2023;ELE;;;;;"{""coordinates"": [2.3403547178238604, 48.82655422621689], ""type"": ""Point""}";48.82655422621689, 2.3403547178238604
4892;BIGNON (4) ELEM;4 RUE BIGNON;12ème Ardt;75112;2022-2023;ELE;;;;;"{""coordinates"": [2.3885157740248113, 48.84043115837375], ""type"": ""Point""}";48.84043115837375, 2.3885157740248113
4890;MOUFFETARD (97) MAT;97 RUE MOUFFETARD;5ème Ardt;75105;2022-2023;MAT;;;;;"{""coordinates"": [2.349717592098734, 48.841273662675036], ""type"": ""Point""}";48.841273662675036, 2.349717592098734
4892;BAUDRICOURT (55) ELEM B;55 RUE BAUDRICOURT;13ème Ardt;75113;2022-2023;ELE;;;;;"{""coordinates"": [2.3631352050621324, 48.82577112828068], ""type"": ""Point""}";48.82577112828068, 2.3631352050621324
4892;JEAN FRANCOIS LEPINE (6) ELEM;6 RUE JEAN FRANCOIS LEPINE;18ème Ardt;75118;2022-2023;ELE;;;;;"{""coordinates"": [2.3587182496320507, 48.886181734472096], ""type"": ""Point""}";48.886181734472096, 2.3587182496320507
4892;OLIVIER METRA (22) ELEM B;22 RUE OLIVIER METRA;20ème Ardt;75120;2022-2023;ELE;;;;;"{""coordinates"": [2.394340268963193, 48.87289260018306], ""type"": ""Point""}";48.87289260018306, 2.394340268963193
4890;LEGOUVE (6) MAT;6 RUE LEGOUVE;10ème Ardt;75110;2022-2023;MAT;;;;;"{""coordinates"": [2.3621753999223016, 48.872254869006056], ""type"": ""Point""}";48.872254869006056, 2.3621753999223016
4890;RENAUDES (31) MAT;31 RUE DES RENAUDES;17ème Ardt;75117;2022-2023;MAT;;;;;"{""coordinates"": [2.2977207615324162, 48.880698602550176], ""type"": ""Point""}";48.880698602550176, 2.2977207615324162
4892;LONGCHAMP (130) ELEM;130 RUE DE LONGCHAMP;16ème Ardt;75116;2022-2023;ELE;;;;;"{""coordinates"": [2.2782542113508386, 48.86727564812386], ""type"": ""Point""}";48.86727564812386, 2.2782542113508386
4890;PEREIRE (221) MAT;221 BOULEVARD PEREIRE;17ème Ardt;75117;2022-2023;MAT;;;;;"{""coordinates"": [2.2892896889989873, 48.88056489268451], ""type"": ""Point""}";48.88056489268451, 2.2892896889989873
4890;MIOLLIS (33) MAT;33 RUE MIOLLIS;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.3024634736345475, 48.84541510740262], ""type"": ""Point""}";48.84541510740262, 2.3024634736345475
4890;CARDINAL AMETTE (3) MAT;3 PLACE DU CARDINAL AMETTE;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.297107585629458, 48.85093752536021], ""type"": ""Point""}";48.85093752536021, 2.297107585629458
4890;CENDRIERS (20) MAT;20 RUE DES CENDRIERS;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.3868861755356465, 48.86553823798571], ""type"": ""Point""}";48.86553823798571, 2.3868861755356465
4890;JEAN BOUTON (7) MAT;7 RUE JEAN BOUTON;12ème Ardt;75112;2022-2023;MAT;;;;;"{""coordinates"": [2.3768421263359367, 48.84565118195942], ""type"": ""Point""}";48.84565118195942, 2.3768421263359367
4892;GLACIERE (100) ELEM;100 RUE DE LA GLACIERE;13ème Ardt;75113;2022-2023;ELE;;;;;"{""coordinates"": [2.3429107032425702, 48.829792234688384], ""type"": ""Point""}";48.829792234688384, 2.3429107032425702
4892;POUCHET (42) ELEM;42 RUE POUCHET;17ème Ardt;75117;2022-2023;ELE;;;;;"{""coordinates"": [2.320407237813889, 48.893826590439986], ""type"": ""Point""}";48.893826590439986, 2.320407237813889
4892;RIBLETTE (16) ELEM A;16 RUE RIBLETTE;20ème Ardt;75120;2022-2023;ELE;;;;;"{""coordinates"": [2.4065700810665573, 48.86006880940258], ""type"": ""Point""}";48.86006880940258, 2.4065700810665573
4890;PLANCHAT (52) MAT;52 RUE PLANCHAT;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.396600653680645, 48.85580459429238], ""type"": ""Point""}";48.85580459429238, 2.396600653680645
4892;PAUL VALERY (18) POLY;18 RUE PAUL VALERY;16ème Ardt;75116;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.2900006682192444, 48.87034290370526], ""type"": ""Point""}";48.87034290370526, 2.2900006682192444
