Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
4890;VANEAU (48) MAT;48 RUE VANEAU;7ème Ardt;75107;2022-2023;MAT;;;;;"{""coordinates"": [2.3191643703035774, 48.85120382889964], ""type"": ""Point""}";48.85120382889964, 2.3191643703035774
4892;FESSART (4) ELEM;4 RUE FESSART;19ème Ardt;75119;2022-2023;ELE;;;;;"{""coordinates"": [2.3886273989289553, 48.87620483668461], ""type"": ""Point""}";48.87620483668461, 2.3886273989289553
COLLEGES (année scolaire 2022/2023);PAUL GAUGUIN;35 RUE MILTON;9ème Ardt;75109;2022-2023;Collège;;;;;"{""coordinates"": [2.3423452396970905, 48.8792307451151], ""type"": ""Point""}";48.8792307451151, 2.3423452396970905
COLLEGES (année scolaire 2022/2023);CHAPTAL;45 BOULEVARD DES BATIGNOLLES;8ème Ardt;75108;2022-2023;Collège;;;;;"{""coordinates"": [2.319687602583127, 48.88173758353143], ""type"": ""Point""}";48.88173758353143, 2.319687602583127
4890;TELEGRAPHE (29) MAT;29 RUE DU TELEGRAPHE;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.399105785179328, 48.873410665618245], ""type"": ""Point""}";48.873410665618245, 2.399105785179328
4890;JENNER (46) MAT;46 RUE JENNER;13ème Ardt;75113;2022-2023;MAT;;;;;"{""coordinates"": [2.36087574556163, 48.83603938481635], ""type"": ""Point""}";48.83603938481635, 2.36087574556163
4892;SURENE (18) ELEM;18 RUE DE SURENE;8ème Ardt;75108;2022-2023;ELE;;;;;"{""coordinates"": [2.3205725293511055, 48.87105988952709], ""type"": ""Point""}";48.87105988952709, 2.3205725293511055
4892;TOURELLES (5/7) POLY;5 RUE DES TOURELLES;20ème Ardt;75120;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.404086116145681, 48.87473729137813], ""type"": ""Point""}";48.87473729137813, 2.404086116145681
4892;PLAINE (9) ELEM B;9 RUE DE LA PLAINE;20ème Ardt;75120;2022-2023;ELE;;;;;"{""coordinates"": [2.399914835474164, 48.849964001623064], ""type"": ""Point""}";48.849964001623064, 2.399914835474164
4892;HIPPOLYTE MAINDRON (48) ELEM;48 RUE HIPPOLYTE MAINDRON;14ème Ardt;75114;2022-2023;ELE;;;;;"{""coordinates"": [2.320559194450543, 48.83040457696267], ""type"": ""Point""}";48.83040457696267, 2.320559194450543
4892;BUFFAULT (32) ELEM;32 RUE BUFFAULT;9ème Ardt;75109;2022-2023;ELE;;;;;"{""coordinates"": [2.3424365708553445, 48.87631292671901], ""type"": ""Point""}";48.87631292671901, 2.3424365708553445
COLLEGES (année scolaire 2022/2023);JULES ROMAINS;6 RUE CLER;7ème Ardt;75107;2022-2023;Collège;;;;;"{""coordinates"": [2.3054337931400832, 48.85846458255922], ""type"": ""Point""}";48.85846458255922, 2.3054337931400832
4890;FEDERATION (18) MAT;18 RUE DE LA FEDERATION;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.2910889400423504, 48.854537240506836], ""type"": ""Point""}";48.854537240506836, 2.2910889400423504
4890;OLIVIER DE SERRES (34) MAT;34 RUE OLIVIER DE SERRES;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.2965269926051577, 48.835507907168534], ""type"": ""Point""}";48.835507907168534, 2.2965269926051577
4890;CEPRE (13) MAT;13 RUE CEPRE;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.303604368736968, 48.846624363452094], ""type"": ""Point""}";48.846624363452094, 2.303604368736968
4890;BRUXELLES (34) MAT;34 RUE DE BRUXELLES;9ème Ardt;75109;2022-2023;MAT;;;;;"{""coordinates"": [2.3286838662964278, 48.882973714173346], ""type"": ""Point""}";48.882973714173346, 2.3286838662964278
COLLEGES (année scolaire 2022/2023);GEORGE SAND;159 RUE DE TOLBIAC;13ème Ardt;75113;2022-2023;Collège;;;;;"{""coordinates"": [2.3558852290755237, 48.82601379702334], ""type"": ""Point""}";48.82601379702334, 2.3558852290755237
COLLEGES (année scolaire 2022/2023);LUCIE ET RAYMOND AUBRAC;62 RUE DE LA FONTAINE AU ROI;11ème Ardt;75111;2022-2023;Collège;;;;;"{""coordinates"": [2.374321375328781, 48.86823413928675], ""type"": ""Point""}";48.86823413928675, 2.374321375328781
4892;AMIRAL ROUSSIN (35) ELEM;35 RUE DE L AMIRAL ROUSSIN;15ème Ardt;75115;2022-2023;ELE;;;;;"{""coordinates"": [2.299626336508781, 48.84423314603248], ""type"": ""Point""}";48.84423314603248, 2.299626336508781
4892;FRANCOIS COPPEE (14) ELEM;14 RUE FRANCOIS COPPEE;15ème Ardt;75115;2022-2023;ELE;;;;;"{""coordinates"": [2.287841502930166, 48.83987528329247], ""type"": ""Point""}";48.83987528329247, 2.287841502930166
4892;GENERAL CAMOU (1) ELEM;1 RUE GENERAL CAMOU;7ème Ardt;75107;2022-2023;ELE;;;;;"{""coordinates"": [2.2998593922718706, 48.85889064623058], ""type"": ""Point""}";48.85889064623058, 2.2998593922718706
COLLEGES (année scolaire 2022/2023);ANTOINE COYSEVOX;16 RUE COYSEVOX;18ème Ardt;75118;2022-2023;Collège;;;;;"{""coordinates"": [2.3298201952433653, 48.89161762679698], ""type"": ""Point""}";48.89161762679698, 2.3298201952433653
COLLEGES (année scolaire 2022/2023);FRANCOISE SELIGMAN;21 RUE DE SAMBRE ET MEUSE;10ème Ardt;75110;2022-2023;Collège;;;;;"{""coordinates"": [2.371691242263032, 48.87485079446566], ""type"": ""Point""}";48.87485079446566, 2.371691242263032
COLLEGES (année scolaire 2022/2023);GEORGES BRASSENS;4 RUE ERIK SATIE;19ème Ardt;75119;2022-2023;Collège;;;;;"{""coordinates"": [2.3863943215388685, 48.88433022802427], ""type"": ""Point""}";48.88433022802427, 2.3863943215388685
COLLEGES (année scolaire 2022/2023);GERMAINE TILLION;8 AVENUE VINCENT D'INDY;12ème Ardt;75112;2022-2023;Collège;;;;;"{""coordinates"": [2.4117076060119294, 48.84313628382938], ""type"": ""Point""}";48.84313628382938, 2.4117076060119294
4890;VAUVENARGUES (52) MAT;52 RUE VAUVENARGUES;18ème Ardt;75118;2022-2023;MAT;;;;;"{""coordinates"": [2.331537079400387, 48.895418518323694], ""type"": ""Point""}";48.895418518323694, 2.331537079400387
4892;ROMAINVILLE (59) ELEM B;59 RUE DE ROMAINVILLE;19ème Ardt;75119;2022-2023;ELE;;;;;"{""coordinates"": [2.4032320643144987, 48.87737810883743], ""type"": ""Point""}";48.87737810883743, 2.4032320643144987
4892;WURTZ (16) ELEM;16 RUE WURTZ;13ème Ardt;75113;2022-2023;ELE;;;;;"{""coordinates"": [2.344618527667761, 48.82693192147904], ""type"": ""Point""}";48.82693192147904, 2.344618527667761
4892;MARGUERITE LONG (5) POLY;5 RUE MARGUERITE LONG;17ème Ardt;75117;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.304519099872852, 48.89101309347151], ""type"": ""Point""}";48.89101309347151, 2.304519099872852
4890;EUGENE REISZ (2) MAT;2 RUE EUGENE REISZ;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.410503469825659, 48.85627811228629], ""type"": ""Point""}";48.85627811228629, 2.410503469825659
4890;TORCY (10-12) MAT;10 RUE DE TORCY;18ème Ardt;75118;2022-2023;MAT;;;;;"{""coordinates"": [2.3640416412674057, 48.8912764132004], ""type"": ""Point""}";48.8912764132004, 2.3640416412674057
4892;RICHOMME (9) ELEM;9 RUE RICHOMME;18ème Ardt;75118;2022-2023;ELE;;;;;"{""coordinates"": [2.3521819392766203, 48.886416749925715], ""type"": ""Point""}";48.886416749925715, 2.3521819392766203
4892;BERTHIER (112) ELEM;112 BOULEVARD BERTHIER;17ème Ardt;75117;2022-2023;ELE;;;;;"{""coordinates"": [2.301658092229931, 48.88919934607106], ""type"": ""Point""}";48.88919934607106, 2.301658092229931
4892;MILTON (21) ELEM;21 RUE MILTON;9ème Ardt;75109;2022-2023;ELE;;;;;"{""coordinates"": [2.3411735342141595, 48.87868749469112], ""type"": ""Point""}";48.87868749469112, 2.3411735342141595
4890;LAMARCK (4) MAT;4 SQUARE LAMARCK;18ème Ardt;75118;2022-2023;MAT;;;;;"{""coordinates"": [2.3358105724238714, 48.89077288473815], ""type"": ""Point""}";48.89077288473815, 2.3358105724238714
4890;HIPPOLYTE MAINDRON (48) MAT;48 RUE HIPPOLYTE MAINDRON;14ème Ardt;75114;2022-2023;MAT;;;;;"{""coordinates"": [2.320559194450543, 48.83040457696267], ""type"": ""Point""}";48.83040457696267, 2.320559194450543
4892;TURGOT (15) ELEM;15 RUE TURGOT;9ème Ardt;75109;2022-2023;ELE;;;;;"{""coordinates"": [2.345147048298475, 48.88050057618935], ""type"": ""Point""}";48.88050057618935, 2.345147048298475
COLLEGES (année scolaire 2022/2023);MAURICE UTRILLO;100 BOULEVARD NEY;18ème Ardt;75118;2022-2023;Collège;;;;;"{""coordinates"": [2.3447564327292643, 48.89820810689648], ""type"": ""Point""}";48.89820810689648, 2.3447564327292643
4890;SADI LECOINTE (8) MAT;8 RUE SADI LECOINTE;19ème Ardt;75119;2022-2023;MAT;;;;;"{""coordinates"": [2.3738821856589865, 48.88035393950241], ""type"": ""Point""}";48.88035393950241, 2.3738821856589865
4890;POMMARD (33) MAT;33 RUE DE POMMARD;12ème Ardt;75112;2022-2023;MAT;;;;;"{""coordinates"": [2.3837080784822082, 48.83641592073815], ""type"": ""Point""}";48.83641592073815, 2.3837080784822082
4892;GILBERT CESBRON (1) POLY;1 RUE GILBERT CESBRON;17ème Ardt;75117;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3141714544791356, 48.89340359717558], ""type"": ""Point""}";48.89340359717558, 2.3141714544791356
4892;FAUBOURG ST DENIS (34) ELEM;34 RUE DU FAUBOURG SAINT DENIS;10ème Ardt;75110;2022-2023;ELE;;;;;"{""coordinates"": [2.353506735372658, 48.87111111278698], ""type"": ""Point""}";48.87111111278698, 2.353506735372658
4890;NOYER DURAND (5) MAT;5 RUE DU NOYER DURAND;19ème Ardt;75119;2022-2023;MAT;;;;;"{""coordinates"": [2.399123320054973, 48.886731773138386], ""type"": ""Point""}";48.886731773138386, 2.399123320054973
4890;MAROC (34) MAT;34 RUE DU MAROC;19ème Ardt;75119;2022-2023;MAT;;;;;"{""coordinates"": [2.3677383571474055, 48.88716202449678], ""type"": ""Point""}";48.88716202449678, 2.3677383571474055
4892;ST JACQUES (28) ELEM;28 RUE SAINT JACQUES;5ème Ardt;75105;2022-2023;ELE;;;;;"{""coordinates"": [2.345661862991428, 48.85133508348417], ""type"": ""Point""}";48.85133508348417, 2.345661862991428
4892;REIMS (38-40) POLY;38 BOULEVARD DE REIMS;17ème Ardt;75117;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.295450619155225, 48.88828196110204], ""type"": ""Point""}";48.88828196110204, 2.295450619155225
4890;FLEURS (61) MAT;61 CITE DES FLEURS;17ème Ardt;75117;2022-2023;MAT;;;;;"{""coordinates"": [2.3210113593774087, 48.893547926398206], ""type"": ""Point""}";48.893547926398206, 2.3210113593774087
4890;TANGER (41) MAT;41 RUE DE TANGER;19ème Ardt;75119;2022-2023;MAT;;;;;"{""coordinates"": [2.3702364147193737, 48.887768133734], ""type"": ""Point""}";48.887768133734, 2.3702364147193737
4892;VICQ D'AZIR (16) POLY;16 RUE VICQ D'AZIR;10ème Ardt;75110;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3705586931454286, 48.876069592939636], ""type"": ""Point""}";48.876069592939636, 2.3705586931454286
COLLEGES (année scolaire 2022/2023);MONTAIGNE;17 RUE AUGUSTE COMTE;6ème Ardt;75106;2022-2023;Collège;;;;;"{""coordinates"": [2.3348321149353644, 48.844237396416126], ""type"": ""Point""}";48.844237396416126, 2.3348321149353644
COLLEGES (année scolaire 2022/2023);JACQUES DECOUR;12 AVENUE TRUDAINE;9ème Ardt;75109;2022-2023;Collège;;;;;"{""coordinates"": [2.3434236996737567, 48.8814862743419], ""type"": ""Point""}";48.8814862743419, 2.3434236996737567
4890;CHAMPIONNET (72) MAT;72 RUE CHAMPIONNET;18ème Ardt;75118;2022-2023;MAT;;;;;"{""coordinates"": [2.3448803625489103, 48.895890845375234], ""type"": ""Point""}";48.895890845375234, 2.3448803625489103
4890;AMPERE (18) MAT;18 RUE AMPERE;17ème Ardt;75117;2022-2023;MAT;;;;;"{""coordinates"": [2.3049460969373756, 48.88531855079069], ""type"": ""Point""}";48.88531855079069, 2.3049460969373756
4890;PARADIS (20) MAT;;10ème Ardt;75110;2022-2023;MAT;;;;;"{""coordinates"": [2.3535442338358408, 48.874871515601875], ""type"": ""Point""}";48.874871515601875, 2.3535442338358408
4892;IVRY (47) ELEM B;47 AVENUE D'IVRY (ECOLE B);13ème Ardt;75113;2022-2023;ELE;;;;;"{""coordinates"": [2.365782181735675, 48.82306036550549], ""type"": ""Point""}";48.82306036550549, 2.365782181735675
4892;MANIN (40B) ELEM;40 bis RUE MANIN;19ème Ardt;75119;2022-2023;ELE;;;;;"{""coordinates"": [2.3907149240403682, 48.88401210073235], ""type"": ""Point""}";48.88401210073235, 2.3907149240403682
4892;LACORDAIRE (7) ELEM;7 RUE LACORDAIRE;15ème Ardt;75115;2022-2023;ELE;;;;;"{""coordinates"": [2.2842520263403903, 48.84385786191493], ""type"": ""Point""}";48.84385786191493, 2.2842520263403903
4892;BOUVINES (4) ELEM;4 AVENUE DE BOUVINES;11ème Ardt;75111;2022-2023;ELE;;;;;"{""coordinates"": [2.39650049769645, 48.84985276951626], ""type"": ""Point""}";48.84985276951626, 2.39650049769645
COLLEGES (année scolaire 2022/2023);GEORGES CLEMENCEAU;43 RUE DES POISSONNIERS;18ème Ardt;75118;2022-2023;Collège;;;;;"{""coordinates"": [2.3515397719869475, 48.88906745779489], ""type"": ""Point""}";48.88906745779489, 2.3515397719869475
COLLEGES (année scolaire 2022/2023);AMEDEO MODIGLIANI;1 RUE DE CHERBOURG;15ème Ardt;75115;2022-2023;Collège;;;;;"{""coordinates"": [2.3047394660611222, 48.83170273369949], ""type"": ""Point""}";48.83170273369949, 2.3047394660611222
4890;ST GERMAIN L'AUXERROIS (6) MAT;6 RUE ST GERMAIN L'AUXERROIS;1er Ardt;75101;2022-2023;MAT;;;;;"{""coordinates"": [2.345386713065591, 48.85821794704413], ""type"": ""Point""}";48.85821794704413, 2.345386713065591
4890;SURMELIN (18) MAT;18 RUE DU SURMELIN;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.4031726014336607, 48.86793592440649], ""type"": ""Point""}";48.86793592440649, 2.4031726014336607
4890;PELLEPORT (99) MAT;99 RUE PELLEPORT;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.399462176513419, 48.87020949208667], ""type"": ""Point""}";48.87020949208667, 2.399462176513419
4890;FERDINAND FLOCON (3) MAT;3 RUE FERDINAND FLOCON;18ème Ardt;75118;2022-2023;MAT;;;;;"{""coordinates"": [2.3456486054410246, 48.89126196618973], ""type"": ""Point""}";48.89126196618973, 2.3456486054410246
4890;CHAT.DES RENTIERS (103) MAT;103 RUE CHATEAU DES RENTIERS;13ème Ardt;75113;2022-2023;MAT;;;;;"{""coordinates"": [2.3672108439047443, 48.828173837361305], ""type"": ""Point""}";48.828173837361305, 2.3672108439047443
4892;RIBLETTE (14) ELEM B;14 RUE RIBLETTE;20ème Ardt;75120;2022-2023;ELE;;;;;"{""coordinates"": [2.4059821312439307, 48.859968853223876], ""type"": ""Point""}";48.859968853223876, 2.4059821312439307
4892;JEAN ZAY (18) ELEM;18 RUE JEAN ZAY;14ème Ardt;75114;2022-2023;ELE;;;;;"{""coordinates"": [2.3206367230825946, 48.83762121194944], ""type"": ""Point""}";48.83762121194944, 2.3206367230825946
4892;BERCY (165) ELEM;165 RUE DE BERCY;12ème Ardt;75112;2022-2023;ELE;;;;;"{""coordinates"": [2.3753979306747715, 48.84252115757894], ""type"": ""Point""}";48.84252115757894, 2.3753979306747715
4890;RAPP (28) MAT;28 AVENUE RAPP;7ème Ardt;75107;2022-2023;MAT;;;;;"{""coordinates"": [2.3002060575306875, 48.85863065065178], ""type"": ""Point""}";48.85863065065178, 2.3002060575306875
4892;ORAN (18) ELEM;18 RUE D'ORAN;18ème Ardt;75118;2022-2023;ELE;;;;;"{""coordinates"": [2.353029211880464, 48.88904593860851], ""type"": ""Point""}";48.88904593860851, 2.353029211880464
4892;CHAMPAGNE (17) POLY;17 CITE CHAMPAGNE;20ème Ardt;75120;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.4042089809108966, 48.85333032620816], ""type"": ""Point""}";48.85333032620816, 2.4042089809108966
4892;RENARD (16) ELEM;16 RUE DU RENARD;4ème Ardt;75104;2022-2023;ELE;;;;;"{""coordinates"": [2.3524903048533665, 48.85911493354362], ""type"": ""Point""}";48.85911493354362, 2.3524903048533665
4890;MOSCOU (7) MAT;7 RUE DE MOSCOU;8ème Ardt;75108;2022-2023;MAT;;;;;"{""coordinates"": [2.3259924572838835, 48.88003521690321], ""type"": ""Point""}";48.88003521690321, 2.3259924572838835
4892;ST JACQUES (250 B) ELEM;250 bis RUE SAINT JACQUES;5ème Ardt;75105;2022-2023;ELE;;;;;"{""coordinates"": [2.3416321034164453, 48.84377707722694], ""type"": ""Point""}";48.84377707722694, 2.3416321034164453
4890;PALIKAO (32) MAT;32 RUE DE PALI KAO;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.38220604542203, 48.87041528652725], ""type"": ""Point""}";48.87041528652725, 2.38220604542203
4890;L.M.NORDMANN (140) MAT;140 RUE LEON MAURICE NORDMANN;13ème Ardt;75113;2022-2023;MAT;;;;;"{""coordinates"": [2.3431821295641404, 48.83377350532776], ""type"": ""Point""}";48.83377350532776, 2.3431821295641404
4892;DAVOUT (51) POLY;51 BD DAVOUT;20ème Ardt;75120;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.410732854164186, 48.85132892108274], ""type"": ""Point""}";48.85132892108274, 2.410732854164186
4892;BEAUREGARD (5) POLY;5 RUE BEAUREGARD;2ème Ardt;75102;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3483376284291317, 48.86927024119969], ""type"": ""Point""}";48.86927024119969, 2.3483376284291317
4892;M. ROSTROPOVITCH (34) POLY;34 RUE MSTISLAV ROSTROPOVITCH;17ème Ardt;75117;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3129853283505617, 48.89002009578474], ""type"": ""Point""}";48.89002009578474, 2.3129853283505617
COLLEGES (année scolaire 2022/2023);FRANCOIS VILLON;10 AVENUE MARC SANGNIER;14ème Ardt;75114;2022-2023;Collège;;;;;"{""coordinates"": [2.305819984025646, 48.82622241072023], ""type"": ""Point""}";48.82622241072023, 2.305819984025646
4892;PIERRE LAROUSSE (28) ELEM;28 RUE PIERRE LAROUSSE;14ème Ardt;75114;2022-2023;ELE;;;;;"{""coordinates"": [2.314210381405044, 48.82909769717928], ""type"": ""Point""}";48.82909769717928, 2.314210381405044
COLLEGES (année scolaire 2022/2023);CESAR FRANCK;5 RUE DE LA JUSSIENNE;2ème Ardt;75102;2022-2023;Collège;;;;;"{""coordinates"": [2.3442026798992033, 48.86535583739994], ""type"": ""Point""}";48.86535583739994, 2.3442026798992033
4890;GRANDS CHAMPS (22) MAT;12 RUE DES GRANDS CHAMPS;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.3997425535541916, 48.850458534708345], ""type"": ""Point""}";48.850458534708345, 2.3997425535541916
4892;EVANGILE (33) ELEM;33 RUE DE L'EVANGILE;18ème Ardt;75118;2022-2023;ELE;;;;;"{""coordinates"": [2.3651224005960807, 48.89406873070228], ""type"": ""Point""}";48.89406873070228, 2.3651224005960807
4892;GENERAL BRUNET (7) ELEM;7 RUE DU GENERAL BRUNET;19ème Ardt;75119;2022-2023;ELE;;;;;"{""coordinates"": [2.390258806812806, 48.88026543101532], ""type"": ""Point""}";48.88026543101532, 2.390258806812806
4892;ST MAUR (22) ELEM A;22 RUE SAINT MAUR;11ème Ardt;75111;2022-2023;ELE;;;;;"{""coordinates"": [2.382040686270864, 48.86030901280041], ""type"": ""Point""}";48.86030901280041, 2.382040686270864
COLLEGES (année scolaire 2022/2023);GEORGES MELIES;43 RUE DE TANGER;19ème Ardt;75119;2022-2023;Collège;;;;;"{""coordinates"": [2.3703616254082545, 48.88807096328259], ""type"": ""Point""}";48.88807096328259, 2.3703616254082545
COLLEGES (année scolaire 2022/2023);MARIE CURIE;23 RUE BOINOD;18ème Ardt;75118;2022-2023;Collège;;;;;"{""coordinates"": [2.3507358446303632, 48.89334018854464], ""type"": ""Point""}";48.89334018854464, 2.3507358446303632
4890;CONSTANTIN PECQUEUR (1) MAT;1 PLACE CONSTANTIN PECQUEUR;18ème Ardt;75118;2022-2023;MAT;;;;;"{""coordinates"": [2.337932093180363, 48.88882548893339], ""type"": ""Point""}";48.88882548893339, 2.337932093180363
COLLEGES (année scolaire 2022/2023);ROBERT DOISNEAU;51 RUE DES PANOYAUX;20ème Ardt;75120;2022-2023;Collège;;;;;"{""coordinates"": [2.387974290425766, 48.86707415481146], ""type"": ""Point""}";48.86707415481146, 2.387974290425766
COLLEGES (année scolaire 2022/2023);PAUL VERLAINE;167 RUE DE BERCY;12ème Ardt;75112;2022-2023;Collège;;;;;"{""coordinates"": [2.375238551801449, 48.84260745086261], ""type"": ""Point""}";48.84260745086261, 2.375238551801449
4890;LAHIRE (13) MAT;13 RUE LAHIRE;13ème Ardt;75113;2022-2023;MAT;;;;;"{""coordinates"": [2.3664610451653667, 48.82965725478757], ""type"": ""Point""}";48.82965725478757, 2.3664610451653667
4892;FALGUIERE (20) ELEM;20 RUE FALGUIERE;15ème Ardt;75115;2022-2023;ELE;;;;;"{""coordinates"": [2.3166256618717864, 48.84323079035598], ""type"": ""Point""}";48.84323079035598, 2.3166256618717864
COLLEGES (année scolaire 2022/2023);EDOUARD PAILLERON;35 RUE EDOUARD PAILLERON;19ème Ardt;75119;2022-2023;Collège;;;;;"{""coordinates"": [2.3789595976766833, 48.881293191571345], ""type"": ""Point""}";48.881293191571345, 2.3789595976766833
COLLEGES (année scolaire 2022/2023);HENRI BERGSON;27 bis RUE EDOUARD PAILLERON;19ème Ardt;75119;2022-2023;Collège;;;;;"{""coordinates"": [2.378040375653599, 48.881137694884536], ""type"": ""Point""}";48.881137694884536, 2.378040375653599
COLLEGES (année scolaire 2022/2023);PIERRE DE RONSARD;140 AVENUE DE WAGRAM;17ème Ardt;75117;2022-2023;Collège;;;;;"{""coordinates"": [2.3040936300187407, 48.88588609596083], ""type"": ""Point""}";48.88588609596083, 2.3040936300187407
4892;BARBANEGRE (7) ELEM A;7 RUE BARBANEGRE;19ème Ardt;75119;2022-2023;ELE;;;;;"{""coordinates"": [2.382861773109085, 48.89213866778307], ""type"": ""Point""}";48.89213866778307, 2.382861773109085
4892;ETIENNE MARCEL (20) ELEM;20 RUE ETIENNE MARCEL;2ème Ardt;75102;2022-2023;ELE;;;;;"{""coordinates"": [2.348314568902024, 48.86414057425542], ""type"": ""Point""}";48.86414057425542, 2.348314568902024
4890;VIOLET (38) MAT;38 RUE VIOLET;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.2928549748661577, 48.84750408293091], ""type"": ""Point""}";48.84750408293091, 2.2928549748661577
4890;ALAIN-FOURNIER (7) MAT;7 SQUARE ALAIN-FOURNIER;14ème Ardt;75114;2022-2023;MAT;;;;;"{""coordinates"": [2.306835908986238, 48.827746373294794], ""type"": ""Point""}";48.827746373294794, 2.306835908986238
4892;EMILE LEVASSOR (3) ELEM;3 RUE EMILE LEVASSOR;13ème Ardt;75113;2022-2023;ELE;;;;;"{""coordinates"": [2.369042817839281, 48.820889245438714], ""type"": ""Point""}";48.820889245438714, 2.369042817839281
4892;CHAMPERRET (7) ELEM;7 AVENUE DE LA PTE CHAMPERRET;17ème Ardt;75117;2022-2023;ELE;;;;;"{""coordinates"": [2.286964097530639, 48.886092219404], ""type"": ""Point""}";48.886092219404, 2.286964097530639
4892;SORBIER (15) ELEM;15 RUE SORBIER;20ème Ardt;75120;2022-2023;ELE;;;;;"{""coordinates"": [2.392126579139312, 48.86643405486063], ""type"": ""Point""}";48.86643405486063, 2.392126579139312
4892;MICHEL ANGE (51) ELEM;51 RUE MICHEL ANGE;16ème Ardt;75116;2022-2023;ELE;;;;;"{""coordinates"": [2.261070247176204, 48.84402438713324], ""type"": ""Point""}";48.84402438713324, 2.261070247176204
4892;LOUIS BLANC (49B) ELEM;49 bis RUE LOUIS BLANC;10ème Ardt;75110;2022-2023;ELE;;;;;"{""coordinates"": [2.362516253533549, 48.88240948656542], ""type"": ""Point""}";48.88240948656542, 2.362516253533549
COLLEGES (année scolaire 2022/2023);LAMARTINE;121 RUE DU FAUBOURG POISSONNIERE;9ème Ardt;75109;2022-2023;Collège;;;;;"{""coordinates"": [2.349089434845314, 48.87838139909923], ""type"": ""Point""}";48.87838139909923, 2.349089434845314
4892;LEMERCIER (105) ELEM;105 RUE LEMERCIER;17ème Ardt;75117;2022-2023;ELE;;;;;"{""coordinates"": [2.3180828693182614, 48.889703306158204], ""type"": ""Point""}";48.889703306158204, 2.3180828693182614
4892;MARE (42) ELEM;42 RUE DE LA MARE;20ème Ardt;75120;2022-2023;ELE;;;;;"{""coordinates"": [2.389964695261338, 48.87110111953217], ""type"": ""Point""}";48.87110111953217, 2.389964695261338
4890;TCHAIKOVSKI (7) MAT;7 RUE TCHAIKOVSKI;18ème Ardt;75118;2022-2023;MAT;;;;;"{""coordinates"": [2.364554543133914, 48.89418329402723], ""type"": ""Point""}";48.89418329402723, 2.364554543133914
4892;GENERAL JEAN-SIMON (31) POLY;31 BOULEVARD DU GENERAL JEAN SIMON;13ème Ardt;75113;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3835692779153312, 48.826154926567035], ""type"": ""Point""}";48.826154926567035, 2.3835692779153312
4892;PELLEPORT (166) POLY;166 RUE PELLEPORT;20ème Ardt;75120;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3979874549024034, 48.87336492633465], ""type"": ""Point""}";48.87336492633465, 2.3979874549024034
4892;TANDOU (9) ELEM;9 RUE TANDOU;19ème Ardt;75119;2022-2023;ELE;;;;;"{""coordinates"": [2.379257318602095, 48.8860453090761], ""type"": ""Point""}";48.8860453090761, 2.379257318602095
4890;PORTE BRANCION (5) MAT;5 AVENUE DE LA PORTE BRANCION;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.3020938881021684, 48.82745045804661], ""type"": ""Point""}";48.82745045804661, 2.3020938881021684
4890;CLAUZEL (12) MAT;12 RUE CLAUZEL;9ème Ardt;75109;2022-2023;MAT;;;;;"{""coordinates"": [2.3386679531825516, 48.87916167628801], ""type"": ""Point""}";48.87916167628801, 2.3386679531825516
4890;ALLERAY (102) MAT;102 RUE D'ALLERAY;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.309558316965856, 48.83621201623922], ""type"": ""Point""}";48.83621201623922, 2.309558316965856
4892;LESSEPS (9) ELEM B;9 RUE DE LESSEPS;20ème Ardt;75120;2022-2023;ELE;;;;;"{""coordinates"": [2.4001687751364003, 48.858711483181985], ""type"": ""Point""}";48.858711483181985, 2.4001687751364003
4890;ARCHEREAU (63) MAT;63 RUE ARCHEREAU;19ème Ardt;75119;2022-2023;MAT;;;;;"{""coordinates"": [2.3758337556144675, 48.892863039053374], ""type"": ""Point""}";48.892863039053374, 2.3758337556144675
