Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
ELEMENTAIRES (année scolaire 2022/2023);SIMPLON (14) POLY;14 RUE SIMPLON;18ème Ardt;75118;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3514565316595917, 48.89357315361589], ""type"": ""Point""}";48.89357315361589, 2.3514565316595917
ELEMENTAIRES (année scolaire 2022/2023);PELLEPORT (166) POLY;166 RUE PELLEPORT;20ème Ardt;75120;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3979874549024034, 48.87336492633465], ""type"": ""Point""}";48.87336492633465, 2.3979874549024034
ELEMENTAIRES (année scolaire 2022/2023);MACDONALD (118) POLY;118 BOULEVARD MACDONALD;19ème Ardt;75119;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3813455643169386, 48.899088333111806], ""type"": ""Point""}";48.899088333111806, 2.3813455643169386
ELEMENTAIRES (année scolaire 2022/2023);MAURICE ROUVIER (8) ELEM;8 RUE MAURICE ROUVIER;14ème Ardt;75114;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3098026721213376, 48.83114136955225], ""type"": ""Point""}";48.83114136955225, 2.3098026721213376
ELEMENTAIRES (année scolaire 2022/2023);ANTOINE CHANTIN (20) ELEM;20 RUE ANTOINE CHANTIN;14ème Ardt;75114;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3226565449649197, 48.82725292984934], ""type"": ""Point""}";48.82725292984934, 2.3226565449649197
ELEMENTAIRES (année scolaire 2022/2023);RAMPAL (11) ELEM;11 RUE RAMPAL;19ème Ardt;75119;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.379668279625725, 48.87371568774451], ""type"": ""Point""}";48.87371568774451, 2.379668279625725
ELEMENTAIRES (année scolaire 2022/2023);JENNER (46) ELEM B;46 RUE JENNER;13ème Ardt;75113;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.36087574556163, 48.83603938481635], ""type"": ""Point""}";48.83603938481635, 2.36087574556163
ELEMENTAIRES (année scolaire 2022/2023);BALANCHINE (8-10) POLY;8 RUE GEORGE BALANCHINE;13ème Ardt;75113;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3736445553251295, 48.836467195826174], ""type"": ""Point""}";48.836467195826174, 2.3736445553251295
ELEMENTAIRES (année scolaire 2022/2023);DELAMBRE (24) ELEM;24 RUE DELAMBRE;14ème Ardt;75114;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.326808868876013, 48.84159829348391], ""type"": ""Point""}";48.84159829348391, 2.326808868876013
ELEMENTAIRES (année scolaire 2022/2023);PIERRE LAROUSSE (28) ELEM;28 RUE PIERRE LAROUSSE;14ème Ardt;75114;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.314210381405044, 48.82909769717928], ""type"": ""Point""}";48.82909769717928, 2.314210381405044
